id;type;title;subtitle;author;publication_date;publisher_id;place;editor
143;book;Exposition de Peintures de Charles Camoin;\N;\N;1914-00-00;\N;\N;\N
144;book;Pierre Laprade vous prie de visiter l'Exposition de ses Peintures;\N;\N;1914-00-00;\N;\N;\N
145;book;Exhibition of Pictures by Childe Hassam;\N;\N;1914-00-00;\N;\N;\N
146;book;Catalogue of an Exhibition of Paintings, Drawings and Coloured Reliefs by Robert Anning Bell, R.W.S.;\N;\N;1907-00-00;48;London;\N
147;book;Exposition des Fioretti ou Petites Fleurs de Saint François;\N;\N;1911-00-00;\N;Paris;\N
148;book;Třiadvacátá Výstava Spolku Výtvarných Umělců Manes V Praze 1907. Francouzšti Impressionisté;\N;\N;1907-00-00;46;\N;\N
149;book;Katalog třiadvacáté výstavy Spolku výtvarných umělců Manes v Praze 1907. Francouzští impressionisté;\N;\N;1907-00-00;\N;\N;\N
150;book;Первая выставка картин группы художников "Кольцо";\N;\N;1914-00-00;49;Kiev;\N
151;book;Kollektiv-Ausstellung G. Münter (1904-1913);\N;\N;1913-00-00;\N;Munich;\N
152;book;Interprétations du Midi;\N;\N;1913-00-00;\N;\N;\N
153;book;Kandinsky Kollektiv-Ausstellung, 1902-1912;\N;\N;1912-00-00;51;Berlin;\N
154;book;Выставка картин в пользу лазарета деятелей искусства;\N;\N;1914-00-00;49;\N;\N
155;book;XXXI. Výstava S.V.U. Manes. Les Indépendants;\N;\N;1910-00-00;46;\N;\N
156;book;XXXI. výstava S. V. U. Manes. Les Indépendants;\N;\N;1910-00-00;46;Prague;\N
157;book;XXXIII. Výstava Spolku výtvar. umělců :Manes:;Axel Gallén-Kallela / Ed. Munch;\N;1910-00-00;46;Prague;\N
158;book;XXXV. Výstava;(Členská);\N;1911-00-00;46;Prague;\N
159;book;I. Ausstellung des Modernen Bundes;\N;\N;1911-00-00;\N;\N;\N
160;book;Der Moderne Bund;Beginn der Moderne in der Schweiz;\N;2011-00-00;\N;Lucerne;Fässler, Doris
161;book;Neue Secession Berlin. IV. Ausstellung. Gemälde;\N;\N;1911-00-00;53;Berlin;\N
162;book;Hagenbund;\N;\N;1911-00-00;\N;Prague;\N
163;book;Umělecká výstava v Obecním domě »u Prašné věže«;\N;\N;1912-00-00;46;Prague;\N
164;book;Erste Ausstellung;\N;\N;1913-00-00;54;Berlin;\N
165;book;Exposition de Peintures de Jules Flandrin;\N;\N;1913-00-00;\N;\N;\N
166;book;[XVI. Jahrgang. 1913/14. Zweite Ausstellung]. Degas / Cézanne;\N;\N;1913-00-00;8;\N;\N
167;book;VII. Ausstellung / Rheinische Expressionisten;\N;\N;1914-00-00;54;\N;\N
168;book;XL. výstava. S. V. U. Manes. Mir iskusstva. Sdružení ruských umělců v Petrohradě;\N;\N;1912-00-00;\N;Prague;\N
169;book;Internationale Kunstausstellung Bremen;\N;\N;1906-00-00;55;Bremen;\N
170;book;Каталог Выставки Картин Общества Художников "Бубновый Валет";\N;\N;1912-00-00;56;Moscow;\N
171;book;Выставка Картин Общества Художников "Бубновый Валет";\N;\N;1912-00-00;\N;\N;\N
172;book;Каталог выставки "Бубновый валет";\N;\N;1910-00-00;57;\N;\N
173;book;Каталог выставки картин общества художников "Бубновый валет";\N;\N;1914-00-00;58;\N;\N
174;book;Выставка картин "Голубая роза";\N;\N;1907-00-00;56;\N;\N
175;book;XII-я Выставка картин Московскаго Товариществa Художников в Москве;\N;\N;1905-00-00;56;Moscow;\N
176;book;Frühjahr-Ausstellung der Münchener Secession;Kgl. Kunstausstellungsgebäude am Königsplatz, 1. März - 20. April 1910;\N;1910-00-00;30;Munich;\N
177;book;XIII-я выставка картин Московскаго товарищества художников;\N;\N;1906-00-00;56;Moscow;\N
178;book;Каталог выставки акварели, пастели, tempera, рисунков;\N;\N;1906-00-00;57;Moscow;\N
179;book;Салон 1909;\N;\N;1908-00-00;\N;\N;\N
180;book;2-я Выставка картин общества художников "Союз Молодежи";\N;\N;1911-00-00;59;\N;\N
181;book;XIV выставка картин Московскаго Товарищества Художников;\N;\N;1907-00-00;\N;\N;\N
182;book;Frühjahr-Ausstellung der Münchener Secession;Kgl. Kunstausstellungsgebäude am Königsplatz, 2. März - 10. Mai 1909;\N;1909-00-00;30;München;\N
183;book;73. výroční výstava Krasoumné jednoty pro Čechy;\N;\N;1913-00-00;60;Prague;\N
184;book;XXXXIII. výstava. S. V. U. Manes. Členská;\N;\N;1913-00-00;46;Prague;\N
185;book;Frühjahr-Ausstellung der Münchener Secession;Kgl. Kunstausstellungsgebäude am Königsplatz, 3. März - 20. April 1911;\N;1911-00-00;30;Munich;\N
186;book;Offizieller Katalog der Internationalen Kunst-Ausstellung des Vereins bildender Künstler Münchens (E.V.) "Secession";\N;\N;1908-00-00;10;\N;\N
187;book;Internationale Kunstausstellung der Münchner Secession;Kgl. Kunstausstellungsgebäude am Königsplatz, 16. Mai - 31. Oktober 1911;\N;1911-00-00;10;München;\N
188;book;Frühjahr-Ausstellung der Münchener Secession;Kgl. Kunstausstellungsgebäude am Königsplatz, 2. März - 20. April 1912;\N;1912-00-00;30;München;\N
189;book;Winter-Ausstellung;Josef Flossmann, Leo Samberger, Ignacio Zuloaga\; Kgl. Kunstausstellungsgebäude am Königsplatz, 21. Dez. 1912 - 5. Febr. 1913;\N;1912-00-00;30;Munich;\N
190;book;Frühjahr-Ausstellung der Münchener Secession;\N;\N;1913-00-00;30;Munich;\N
191;book;Neue Münchener Secession. Erste Ausstellung;30. Mai bis 1. Oktober 1914, München;\N;1914-00-00;61;Munich;\N
192;book;Skupina výtvarných umělců. III. výstava;\N;\N;1913-00-00;62;\N;\N
193;book;45. výstava S. V. U. Manes v Praze. Moderní umění;\N;\N;1914-00-00;71;\N;\N
194;book;Offizieller Katalog der Frühjahr-Ausstellung des Vereins bildender Künstler Münchens "Secession" 1905;\N;\N;1905-00-00;30;Munich;\N
195;book;Skupina výtvarných umělců. IV. výstava;\N;\N;1914-00-00;62;Prague;\N
196;book;46. výstava S.V.U. Manes v Praze (členská);\N;\N;1914-00-00;46;Prague;\N
197;book;Katalog Kupkovy výstavy v Praze;\N;\N;1906-00-00;\N;Prague;\N
198;book;Katalog dvacáté šesté výstavy Spolku výtvarných umělců Manes v Praze;\N;\N;1908-00-00;\N;Prague;\N
199;misc;Výstava 8 Kunst Ausstellung;\N;\N;1908-00-00;\N;\N;\N
200;book;II. výstava Skupiny výtvarných umělců;Obrazy, plastika, grafika, architektura, umělecký průmysl, nábytkové interieury Pražských uměleckých dílen;\N;1912-00-00;\N;\N;\N
201;book;A futuristák és expressionisták kiállitásának katalógusa;\N;\N;1913-00-00;\N;\N;\N
202;book;Dritte Ausstellung. Graphik;\N;\N;1912-00-00;51;\N;\N
203;book;Der Sturm. Achte Ausstellung. Die Pathetiker;\N;\N;1912-00-00;51;\N;\N
204;book;Der Blaue Reiter. Gemälde-Ausstellung;\N;\N;1913-00-00;\N;\N;\N
