id;catalogueId;type;title;technique;measurements;creatordate;displaydate;style
206;F-218;2;Semeur;Gouache on paper;100 x 100 cm\
approximate measurements;1911;\N;48
207;F-219;2;Village;Gouache on paper;70 x 70 cm\
approximate measurements;\N;\N;47
208;F-221;1;Paysage avec trois maisons rouges;Watercolour and gouache on paper;107 x 106 cm;1910;\N;47
209;F-227;2;Portrait d'une parente;Gouache on cardboard (?);unknown;1911;\N;47
210;F-237;13;Moissonneuses;Oil on canvas or gouache on paper (?);100 x 130 cm\
approximate measurements;\N;\N;47
211;F-241;2;Moissonneuses / Récolte de seigle I;Gouache on paper (?);130 x 120 cm\
or 120x120 cm;\N;\N;47
212;F-247;3;Moissonneuse I;Oil on canvas;approximate measurements 130/140x130/140 cm;1912;\N;48
213;F-250;3;Moissonneuse II;Oil on canvas;71 x 69.4 cm;1912;\N;48
214;F-264;3;Faucheur I;Oil on canvas;113.5 x 66.5 cm;\N;\N;48
215;F-278;13;Enterrement paysan;Oil on canvas or gouache on paper (?);120 x 220 cm\
approximate measurements;\N;\N;47
216;F-279;2;Visage de paysan;Gouache on paper;26.5 x 32 cm;1911;\N;47
217;F-285;3;Paysannes à l'église / Procession paysanne I;Oil on canvas;75 x 97.5 cm;\N;\N;47
218;F-287;2;Paysannes à l'église / Procession paysanne I;Gouache on paper;150 x 90 cm\
approximate measurements;\N;\N;48
219;F-288;2;Paysannes à l'église / Procession paysanne II;Oil on canvas;70 x 70 cm;1912;\N;48
220;F-289;3;Moissonneuse / Récolte de seigle II;Oil on canvas;72 x 74.5 cm;1912;\N;48
221;F-291;3;Vers les champs II;Oil on canvas;78 x 78 cm;1912;\N;48
222;F-296;3;Orthodoxe I;Oil on canvas;80 x 80 cm;1912;\N;48
223;F-302;3;Orthodoxe II / Portrait de Ivan Vassilievitch Kliounkov;Oil on canvas;80 x 80 cm\
approximate measurements;1912;\N;48
224;F-307;3;Port;Oil on canvas;80 x 95 cm;\N;\N;48
225;F-311;3;Charpentier I au repos;Oil on canvas;71.2 x 113.4 cm;1912;\N;48
226;F-314;20;Bûcheron I assis;Pencil on paper;12.2 x 11.4 cm;\N;1912;48
227;F-316;3;Bûcheron II;Oil on canvas;94 x 71.5 cm;1912;\N;48
228;F-320;3;Matin au village après la tempête de neige;Oil on canvas;80 x 79.5 cm;\N;Winter 1912-1913;48
229;F-322;3;Rue de village;Oil on canvas;80 x 80 cm;\N;\N;48
230;F-332;3;Paysanne avec sceaux II;Oil on canvas;80.3 x 80.3 cm;\N;Autumn 1912;48
231;F-342;3;Visage de jeune fille paysanne;Oil on canvas;80 x 95 cm;\N;Spring/Summer 1913;49
232;F-354;3;Rémouleur;Oil on canvas;79.5 x 79.5 cm;\N;Winter 1912-1913;48
233;F-365;3;Machine a coudre;Oil on canvas;74 x 59 cm;1913;\N;49
234;F-377;3;Samovar II;Oil on canvas;88 x 62 cm;\N;Summer 1913;49
235;F-383;3;Pendule;Oil on canvas;106.8 x 44.5 cm;\N;Summer 1913;\N
236;F-385;3;Laquais avec samovar;Oil on canvas;70 x 53 cm;\N;Early 1914;49
237;F-393;3;Portrait perfectionné d'Ivan Vassilievitch Kliounkov;Oil on canvas;112 x 70 cm;\N;Spring 1913;49
238;F-401;3;Portrait de M. V. Matiushin;Oil on canvas;106.5 x 106.7 cm;\N;Late 1913;49
239;F-403-a;20;1er acte, 1er tableau;Pencil on paper;26.2 x 20.5 cm;\N;Summer / Autumn 1913;49
240;F-403-b;20;1er acte, 2e tableau;Pencil on paper;22.2 x 17.2 cm;\N;Summer / Autumn 1913;49
